kingdom	supergroup	division	class	salp_water	n_reads	n_reads_water	n_reads_pct
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	638	422943	0.1508477501696446
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	740	422908	0.17497895523376242
Eukaryota	Hacrobia	Haptophyta	Other	ST_Salps	1726	387650	0.445247001160841
Eukaryota	Hacrobia	Haptophyta	Other	Coastal SA_Salps	25	317151	0.007882680489735174
Eukaryota	Hacrobia	Haptophyta	Other	SA_Non-Salps	24	387643	0.006191263611106094
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	55	422943	0.013004116393934879
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	139	422908	0.03286766861823375
Eukaryota	Hacrobia	Haptophyta	Other	ST_Salps	26	387650	0.006707081129885205
Eukaryota	Hacrobia	Haptophyta	Other	Coastal SA_Salps	223	317151	0.07031350996843774
Eukaryota	Hacrobia	Haptophyta	Other	SA_Non-Salps	1558	387643	0.40191619608763735
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	92	422943	0.02175234014985471
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	312	422908	0.07377491085531605
Eukaryota	Hacrobia	Haptophyta	Other	Coastal SA_Salps	310	317151	0.09774523807271615
Eukaryota	Hacrobia	Haptophyta	Other	SA_Non-Salps	43	387643	0.011092680636565088
Eukaryota	Hacrobia	Haptophyta	Other	SA_Salps	204	422943	0.048233449897503916
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	768	422908	0.18159978056693182
Eukaryota	Hacrobia	Haptophyta	Other	ST_Salps	52	387650	0.01341416225977041
Eukaryota	Hacrobia	Haptophyta	Other	ST_Non-Salps	20	422908	0.00472916095226385
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Coastal SA_Salps	16475	317151	5.194686442735479
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	SA_Non-Salps	46218	387643	11.922825899087561
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	SA_Salps	42392	422943	10.023100039485227
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	ST_Non-Salps	30196	422908	7.14008720572796
Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	ST_Salps	34399	387650	8.873726299496969
Eukaryota	Hacrobia	Katablepharidophyta	Other	Coastal SA_Salps	655	317151	0.20652622883106153
Eukaryota	Hacrobia	Katablepharidophyta	Other	SA_Non-Salps	1907	387643	0.49194748776580516
Eukaryota	Hacrobia	Katablepharidophyta	Other	SA_Salps	2966	422943	0.7012765313529247
Eukaryota	Hacrobia	Katablepharidophyta	Other	ST_Non-Salps	1636	422908	0.38684536589518287
Eukaryota	Hacrobia	Katablepharidophyta	Other	ST_Salps	1079	387650	0.27834386689023605
Eukaryota	Hacrobia	Picozoa	Other	Coastal SA_Salps	2628	317151	0.8286273730809615
Eukaryota	Hacrobia	Picozoa	Other	SA_Non-Salps	1404	387643	0.3621889212497066
Eukaryota	Hacrobia	Picozoa	Other	SA_Salps	3909	422943	0.9242380178889354
Eukaryota	Hacrobia	Picozoa	Other	ST_Non-Salps	2927	422908	0.6921127053638143
Eukaryota	Hacrobia	Picozoa	Other	ST_Salps	7359	387650	1.898361924416355
Eukaryota	Hacrobia	Telonemia	Other	Coastal SA_Salps	356	317151	0.11224937017382888
Eukaryota	Hacrobia	Telonemia	Other	SA_Non-Salps	596	387643	0.15374971300913468
Eukaryota	Hacrobia	Telonemia	Other	SA_Salps	1888	422943	0.446395850031801
Eukaryota	Hacrobia	Telonemia	Other	ST_Non-Salps	2873	422908	0.6793439707927019
Eukaryota	Hacrobia	Telonemia	Other	ST_Salps	2383	387650	0.6147297820198633
Eukaryota	Opisthokonta	Choanoflagellida	Other	Coastal SA_Salps	1047	317151	0.33012665891010906
Eukaryota	Opisthokonta	Choanoflagellida	Other	SA_Non-Salps	4213	387643	1.086824733066249
Eukaryota	Opisthokonta	Choanoflagellida	Other	SA_Salps	970	422943	0.22934532549303333
Eukaryota	Opisthokonta	Choanoflagellida	Other	ST_Non-Salps	1890	422908	0.44690570998893375
